ID,im_nwords_min,im_nwords_max,im_nwords_mean,im_len_min,im_len_max,im_len_mean,total,base_lft,base_gender,base_opl,base_regio,base_polar,base_intpol,MVH_att_cc_1,MVH_att_cc_2,MVH_att_importance_2,att_cc_mean,opl_3cat,search query_1,search query_2,search query_3,total_valid,total_specific,edu_low,edu_mid,edu_high,base_gender2
143,1,1,1.0,7,18,12.666666666666666,klimaat klimaatverandering klimaatcrisis,28,2,7,8,2.0,3.0,7,7,5,7.0,3,klimaat,klimaatverandering,klimaatcrisis,3.0,1.0,0,0,1,0
144,5,9,6.666666666666667,33,65,45.333333333333336,hoeveel ijstijden zijn er geweest wanneer komt de volgende ijstijd terug cyclus van temperatuurverandering sinds het ontstaan van de aarde,45,1,4,9,8.0,9.0,1,1,3,1.0,2,hoeveel ijstijden zijn er geweest,wanneer komt de volgende ijstijd terug,cyclus van temperatuurverandering sinds het ontstaan van de aarde,3.0,3.0,0,1,0,1
146,2,3,2.3333333333333335,17,22,19.666666666666668,poolkappen smelten co2 veranderende klimaat hoosbuien klimaat,52,1,6,8,5.0,6.0,6,4,5,5.0,3,poolkappen smelten co2,veranderende klimaat,hoosbuien klimaat,3.0,2.0,0,0,1,1
147,1,2,1.3333333333333333,10,12,10.666666666666666,co2 uitstoot windmolens biologisch,52,1,7,1,6.0,9.0,3,1,1,2.0,3,co2 uitstoot,windmolens,biologisch,3.0,3.0,0,0,1,1
148,1,2,1.6666666666666667,7,19,13.333333333333334,klimaat aard opwarming klimaat verandering,20,2,4,12,5.0,3.0,5,5,3,5.0,2,klimaat,aard opwarming,klimaat verandering,3.0,1.0,0,1,0,0
149,1,1,1.0,14,18,16.0,klimaatverandering broeikasgassen energietransitie,28,1,5,12,2.0,6.0,6,6,4,6.0,2,klimaatverandering,broeikasgassen,energietransitie,3.0,2.0,0,1,0,1
150,1,2,1.3333333333333333,6,17,11.0,milieu vervuiling milieu vervuiling,45,1,2,6,7.0,6.0,7,7,5,7.0,1,milieu,vervuiling,milieu vervuiling,3.0,3.0,1,0,0,1
151,2,3,2.6666666666666665,22,27,25.0,co2 uitstoot nederland vervuiling door dieselautos stikstofproductie landbouw,66,1,7,12,1.0,9.0,7,7,5,7.0,3,co2 uitstoot nederland,vervuiling door dieselautos,stikstofproductie landbouw,3.0,3.0,0,0,1,1
152,1,4,2.3333333333333335,18,28,22.666666666666668,klimaatverandering opwarming van de aarde gevolgen klimaatsverandering,34,1,4,7,4.0,6.0,6,5,5,5.5,2,klimaatverandering,opwarming van de aarde,gevolgen klimaatsverandering,3.0,2.0,0,1,0,1
153,1,2,1.6666666666666667,7,21,14.333333333333334,windmolens gezondheid stikstof boeren urgenda,65,2,6,7,3.0,5.0,5,5,4,5.0,3,windmolens gezondheid,stikstof boeren,urgenda,3.0,3.0,0,0,1,0
154,2,2,2.0,15,27,20.333333333333332,opwarming aarde stijging zeespiegel atmosferische samenstelling,66,1,6,12,2.0,5.0,3,4,2,3.5,3,opwarming aarde,stijging zeespiegel,atmosferische samenstelling,3.0,3.0,0,0,1,1
155,1,2,1.3333333333333333,6,13,8.666666666666666,noordpool ijs klimaat winter,27,2,6,12,7.0,3.0,3,3,3,3.0,3,noordpool ijs,klimaat,winter,3.0,2.0,0,0,1,0
156,1,3,1.6666666666666667,3,25,12.666666666666666,cda beleid politieke partijen stemwijzer,19,2,6,9,7.0,6.0,6,6,4,6.0,3,cda,beleid politieke partijen,stemwijzer,3.0,3.0,0,0,1,0
158,1,4,2.3333333333333335,7,22,14.333333333333334,climate change klimaat opwarming van de aarde,19,2,5,4,4.0,3.0,6,6,4,6.0,2,climate change,klimaat,opwarming van de aarde,3.0,1.0,0,1,0,0
159,3,5,4.0,25,27,26.0,verschil co2 vorige eeuw nu percentage stikstof lucht invloed lockdown co2 lucht,47,1,4,2,8.0,6.0,3,4,3,3.5,2,verschil co2 vorige eeuw nu,percentage stikstof lucht,invloed lockdown co2 lucht,3.0,3.0,0,1,0,1
160,1,4,2.3333333333333335,17,20,18.333333333333332,klimaat nederland klimaat in de wereld klimaatverandering,22,2,4,8,10.0,9.0,3,1,1,2.0,2,klimaat nederland,klimaat in de wereld,klimaatverandering,3.0,0.0,0,1,0,0
161,2,7,4.333333333333333,24,44,34.333333333333336,klimaatverandering feiten en fabels klimaatplannen nederland hoe help ik klimaatverandering tegen te gaan,34,1,6,10,4.0,6.0,6,7,5,6.5,3,klimaatverandering feiten en fabels,klimaatplannen nederland,hoe help ik klimaatverandering tegen te gaan,3.0,3.0,0,0,1,1
162,1,4,2.3333333333333335,14,29,20.333333333333332,klimaatverandering climate change perspectives on climat change,24,2,6,5,2.0,6.0,6,3,4,4.5,3,klimaatverandering,climate change,perspectives on climat change,3.0,1.0,0,0,1,0
163,1,7,4.0,18,35,25.0,klimaatverandering opwarming van de aarde hoe staan we ervoor mbt het klimaat,24,2,6,3,3.0,4.0,7,6,5,6.5,3,klimaatverandering,opwarming van de aarde,hoe staan we ervoor mbt het klimaat,3.0,2.0,0,0,1,0
165,1,1,1.0,3,18,9.333333333333334,klimaat klimaatverandering co2,54,1,6,1,7.0,2.0,6,6,4,6.0,3,klimaat,klimaatverandering,co2,3.0,1.0,0,0,1,1
166,2,3,2.3333333333333335,17,40,27.666666666666668,klimaatafspraken nederland individuele milieubesparende maatregelen klimaatbeleid vvd,24,2,7,7,2.0,7.0,7,6,5,6.5,3,klimaatafspraken nederland,individuele milieubesparende maatregelen,klimaatbeleid vvd,3.0,3.0,0,0,1,0
167,1,2,1.3333333333333333,6,19,11.333333333333334,klimaat verandering milieu opwarming,53,2,4,7,6.0,5.0,5,4,4,4.5,2,klimaat verandering,milieu,opwarming,3.0,2.0,0,1,0,0
168,2,4,3.0,23,42,31.333333333333332,klimaatdoelen nederland huidige maatregelen tegen stikstofuitstoot stikstofuitstoot in nederland,21,2,4,4,4.0,4.0,4,5,5,4.5,2,klimaatdoelen nederland,huidige maatregelen tegen stikstofuitstoot,stikstofuitstoot in nederland,3.0,3.0,0,1,0,0
169,1,2,1.3333333333333333,7,18,13.0,klimaatverandering climate change klimaat,31,1,5,8,8.0,7.0,2,2,4,2.0,2,klimaatverandering,climate change,klimaat,3.0,0.0,0,1,0,1
170,1,1,1.0,6,8,7.0,energie duurzaam milieu,48,1,5,7,7.0,9.0,5,5,5,5.0,2,energie,duurzaam,milieu,3.0,3.0,0,1,0,1
171,1,2,1.3333333333333333,12,23,17.0,klimaatbeleid nederland duurzaamheid energiebesparing,36,2,6,4,7.0,7.0,7,5,5,6.0,3,klimaatbeleid nederland,duurzaamheid,energiebesparing,3.0,3.0,0,0,1,0
172,11,13,12.0,65,70,67.66666666666667,hoe lang is de voorspelling dat de aarde de opwarming nog aan kan hoeveel uitstoot moeten we in nederland verminderen om bij te dragen welke landen zijn de grootste bijdragers aan het opwarmen van de aarde,23,2,5,5,4.0,5.0,5,4,3,4.5,2,hoe lang is de voorspelling dat de aarde de opwarming nog aan kan,hoeveel uitstoot moeten we in nederland verminderen om bij te dragen,welke landen zijn de grootste bijdragers aan het opwarmen van de aarde,3.0,3.0,0,1,0,0
173,1,3,1.6666666666666667,14,22,18.0,klimaatakkoord wat is klimaatneutraal klimaatverandering,38,2,7,10,6.0,3.0,6,6,4,6.0,3,klimaatakkoord,wat is klimaatneutraal,klimaatverandering,3.0,2.0,0,0,1,0
174,1,7,3.3333333333333335,16,32,22.333333333333332,klimaatproblemen verbetering klimaar wat kan ik doen voor het klimaat,18,2,5,4,8.0,5.0,3,3,4,3.0,2,klimaatproblemen,verbetering klimaar,wat kan ik doen voor het klimaat,3.0,3.0,0,1,0,0
175,2,4,3.3333333333333335,19,30,24.666666666666668,politic parties in netherlands debate in the netherlands politic discussions,26,1,4,8,0.0,0.0,7,1,1,4.0,2,politic parties in netherlands,debate in the netherlands,politic discussions,3.0,3.0,0,1,0,1
176,4,4,4.0,25,29,27.333333333333332,effect climate on society influence politics on climate gevolgen politiek op klimaat,35,2,7,7,2.0,4.0,4,4,3,4.0,3,effect climate on society,influence politics on climate,gevolgen politiek op klimaat,3.0,3.0,0,0,1,0
177,1,1,1.0,4,7,5.666666666666667,klimaat milieu weer,40,1,6,6,3.0,2.0,3,5,3,4.0,3,klimaat,milieu,weer,3.0,2.0,0,0,1,1
178,2,3,2.3333333333333335,15,18,16.333333333333332,klimaat  milieu klimaat  nederland klimaat  14 daag,34,2,7,12,3.0,6.0,4,6,4,5.0,3,klimaat  milieu,klimaat  nederland,klimaat  14 daag,3.0,2.0,0,0,1,0
179,1,2,1.6666666666666667,14,25,19.0,status klimaat klimaatverandering nieuws klimaatverandering,29,2,6,12,3.0,6.0,4,7,5,5.5,3,status klimaat,klimaatverandering,nieuws klimaatverandering,3.0,2.0,0,0,1,0
180,1,1,1.0,5,11,7.666666666666667,klimaat verandering groen,53,2,5,12,7.0,7.0,1,2,2,1.5,2,klimaat,verandering,groen,3.0,1.0,0,1,0,0
181,1,2,1.6666666666666667,7,19,14.333333333333334,klimaat klimaat verandering klimaat problemen,52,1,6,2,7.0,7.0,1,5,3,3.0,3,klimaat,klimaat verandering,klimaat problemen,3.0,1.0,0,0,1,1
182,1,2,1.3333333333333333,5,13,9.333333333333334,groene energy windmolens eneco,57,1,6,7,5.0,0.0,6,4,4,5.0,3,groene energy,windmolens,eneco,3.0,3.0,0,0,1,1
183,1,2,1.3333333333333333,7,14,10.333333333333334,klimaat klimaat doelen weeronline,52,1,3,7,7.0,6.0,2,1,3,1.5,2,klimaat,klimaat doelen,weeronline,3.0,2.0,0,1,0,1
184,4,6,5.333333333333333,17,39,29.666666666666668,klimaat neutrale producten voor je haar hoe groen leef ik wel goede doel voor beter klimaat,29,2,4,12,4.0,6.0,4,6,4,5.0,2,klimaat neutrale producten voor je haar,hoe groen leef ik,wel goede doel voor beter klimaat,3.0,3.0,0,1,0,0
186,1,3,2.0,16,31,21.666666666666668,duurzaamheid steentje bijdragen gevolgen klimaat klimaatverandering,19,2,5,12,8.0,3.0,3,4,3,3.5,2,duurzaamheid steentje bijdragen,gevolgen klimaat,klimaatverandering,3.0,2.0,0,1,0,0
187,2,2,2.0,27,28,27.333333333333332,oorzaken klimaatverandering gevolgen klimaatverandering voorkomen klimaatverandering,61,1,6,10,5.0,6.0,6,6,5,6.0,3,oorzaken klimaatverandering,gevolgen klimaatverandering,voorkomen klimaatverandering,3.0,3.0,0,0,1,1
188,2,2,2.0,16,19,18.0,klimaat verandering klimaat neutraal klimaat maatregelen,54,2,4,8,4.0,6.0,6,4,4,5.0,2,klimaat verandering,klimaat neutraal,klimaat maatregelen,3.0,2.0,0,1,0,0
189,3,4,3.3333333333333335,25,38,33.333333333333336,temperatuurstijging afgelopen 10 jaar ontwikkeling co2 uitstoot ontwikkeling duurzame energieopwekking,63,1,6,1,3.0,6.0,6,6,4,6.0,3,temperatuurstijging afgelopen 10 jaar,ontwikkeling co2 uitstoot,ontwikkeling duurzame energieopwekking,3.0,3.0,0,0,1,1
190,1,4,3.0,18,25,21.666666666666668,klimaatverandering opwarming van de aarde gevolgen van co2 uitstoot,33,2,6,12,7.0,6.0,6,6,4,6.0,3,klimaatverandering,opwarming van de aarde,gevolgen van co2 uitstoot,3.0,2.0,0,0,1,0
191,1,3,1.6666666666666667,15,20,18.0,klimaatveranderingen klimaatsceptici klimaat en politiek,51,1,7,8,6.0,6.0,6,4,4,5.0,3,klimaatveranderingen,klimaatsceptici,klimaat en politiek,3.0,2.0,0,0,1,1
194,1,2,1.3333333333333333,8,15,10.333333333333334,opwarming aarde ozonlaag uitstoot,50,2,6,7,5.0,3.0,5,5,4,5.0,3,opwarming aarde,ozonlaag,uitstoot,3.0,3.0,0,0,1,0
197,1,1,1.0,4,18,9.666666666666666,klimaat weer klimaatverwachting,56,1,3,12,10.0,4.0,5,2,4,3.5,2,klimaat,weer,klimaatverwachting,3.0,2.0,0,1,0,1
